Q.No.,Date,Text,Asking Member,Addressed Ministry
1,05-Apr-2023,Installation of Nuclear Reactors,Rajendra Dhedya Gavit,ATOMIC ENERGY
2,05-Apr-2023,New Railway Projects in Kerala,Ramya Haridas,RAILWAYS
3,05-Apr-2023,Revival of Baulia Limestone Mine,Vishnu Dayal Ram,MINES
4,05-Apr-2023,Laying of New Railway Lines in Kutch,Vinod Chavda,RAILWAYS
5,05-Apr-2023,Leakages and Corruption in PDS,"Khagen Murmu
Mahabali Singh","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
6,05-Apr-2023,Repair/Reconstruction of Dilapidated Rail Bridges,Vivek Narayan Shejwalkar,RAILWAYS
7,05-Apr-2023,National Technical Textiles Mission,Sanjeev Kumar Singari,TEXTILES
8,05-Apr-2023,Safety of Digital Transaction Platforms,Nihal Chand Chauhan,ELECTRONICS AND INFORMATION TECHNOLOGY
9,05-Apr-2023,Increase in Prices of Essential Food Items,"Shiromani Ram
Rajveer Diler","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
10,05-Apr-2023,Provision of New Trains,Pratap Chandra Sarangi,RAILWAYS
11,05-Apr-2023,Installation of Nuclear Reactors,Rajendra Dhedya Gavit,ATOMIC ENERGY
12,05-Apr-2023,New Railway Projects in Kerala,Ramya Haridas,RAILWAYS
13,05-Apr-2023,Revival of Baulia Limestone Mine,Chandra Sekhar Sahu,MINES
14,05-Apr-2023,Distribution of Foodgrains under PMGKAY,Arun Sao,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
15,05-Apr-2023,Industrial Corridors,"Manne Srinivas Reddy
Komati Reddy Venkat Reddy",COMMERCE AND INDUSTRY
16,05-Apr-2023,Damage of Foodgrains in FCI Stock,E. T. Mohammed Basheer,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
17,05-Apr-2023,Connecting Madarshah Mazar with Tirath Railway,Ashok Kumar Rawat,RAILWAYS
18,05-Apr-2023,New Railway Lines in Assam,Kripanath Mallah,RAILWAYS
19,05-Apr-2023,Make in India Programme,Khan Saumitra,COMMERCE AND INDUSTRY
20,05-Apr-2023,Steps to Regulate Artificial Intelligence,Shyam Yadav Singh,ELECTRONICS AND INFORMATION TECHNOLOGY
21,05-Apr-2023,Modern Regenerative Braking System Technology,"Sambhajirao Mane Dhairyasheel
Shrirang Appa Barne",RAILWAYS
22,05-Apr-2023,SUPRA Scheme,Adoor Prakash,ELECTRONICS AND INFORMATION TECHNOLOGY
23,05-Apr-2023,Economic Census,"D.K. Suresh
Sumalatha Ambareesh",STATISTICS AND PROGRAMME IMPLEMENTATION
24,05-Apr-2023,Digital Village Programme,Vishnu Dutt Sharma,ELECTRONICS AND INFORMATION TECHNOLOGY
25,05-Apr-2023,5G Services,Kotha Prabhakar Reddy,COMMUNICATIONS
26,05-Apr-2023,Incidents of Cyber Attacks,"Nishikant Dubey
Manoj Kumar Tiwari",ELECTRONICS AND INFORMATION TECHNOLOGY
27,05-Apr-2023,Telecom Towers,Jaswantsinh Sumanbhai Bhabhor,COMMUNICATIONS
